,address,price,Latitude,Longitude
766,2835 roundtree blvd,939.0,51.5290971,0.0317683
767,2835 roundtree blvd,939.0,-28.0219215,153.3373055
769,2835 roundtree blvd,1079.0,42.175941,-84.162805
770,2835 roundtree blvd,1039.0,42.23897849959804,-83.71850497747207
771,2835 roundtree blvd,939.0,42.23897849959804,-83.71850497747207
772,2835 roundtree blvd,1039.0,42.30154991677406,-83.72719734545764
774,5800 benson dr,817.0,32.3073622,-86.3458028
775,3089 woodland hills dr,959.0,42.262155,-83.779853
776,1984 traver rd,1379.0,NaN,NaN
777,5800 benson dr,992.0,42.449056451119546,-83.32349758372676
778,2835 roundtree blvd,959.0,42.262155,-83.779853
779,205 perrin,750.0,42.262155,-83.779853
780,603 e. huron street,1979.0,42.07834041735565,-83.69042561583056
782,520 n ashley st,1395.0,42.2939505433245,-83.6833615036768
783,603 e. huron street,999.0,51.5290971,0.0317683
784,603 e. huron street,1049.0,-28.0219215,153.3373055
790,2960 international drive,899.0,42.30154991677406,-83.72719734545764
