,address,price
1866,24 s. normal st,950
1867,1315 oak valley drive,1245
1868,275 harbor way,1499
1869,2820 windwood,1483
187,w liberty,1619
1872,2820 windwood,1675
1873,3089 woodland hills dr,1249
1874,321 williamsen dr,1075
1875,2224 golfside drive,1076
1876,2224 golfside drive,989
1877,2820 windwood,1483
1878,101 lake village,1507
1879,16000 silver parkway,1345
1880,1863 collins ct.,999
1881,1840 collins ct,999
1882,1837 davis st.,999
1883,3100 s. winter st.,825
1884,2044 mcdivitt ct.,1364
1885,3089 woodland hills dr,1249
1886,525 west highland rd,1029
1888,3100 s. winter st.,775
1889,22250 swan rd,777
189,2501 keystone ln,1065
1891,2820 windwood,1644
1892,e. ann st.,985
1893,e. ann st.,1070
1894,e. ann st.,1085
1895,3089 woodland hills dr,1269
1897,1315 oak valley drive,1315
1899,south main streeta,1507
19,10910 independence lane,775
190,2501 keystone ln,1065
1900,1984 traver rd,1369
1901,2911 bynan dr,909
1902,stadium blvd,1039
1903,schooner cove boulevard,829
1904,1984 traver rd,1489
1905,twin lakes drive,959
1906,twin lakes dr.,919
1907,2820 windwood,1483
1908,1984 traver rd,1084
1909,1315 oak valley drive,1425
191,2501 keystone ln,840
1910,twin lakes dr,1369
1912,275 harbor way,1449
1913,2500 lakeshore blvd,1150
1914,2501 keystone ln,1040
1915,2501 keystone ln,1040
1916,2501 keystone ln,840
1917,2501 keystone ln,840
1918,leslie circle,1389
1919,3089 woodland hills dr,849
192,1409 catalpa dr,1000
1920,27883 independence st,925
1921,2500 lakeshore blvd,1100
1922,2960 birch hollow dr,1039
1923,2500 lakeshore blvd,1050
1924,2820 windwood,1483
1925,south main street,1294
1926,twin lakes drive,959
1927,2500 lakeshore blvd,890
1928,275 harbor way,1399
1929,3050 birch hollow dr,1150
1930,2500 lakeshore blvd,850
1931,2500 lakeshore blvd,860
1932,schooner cove blvd,979
1933,stadium blvd,1109
1934,birch hollow dr,999
1935,140 lauff drive,1030
1936,1315 oak valley dr,1323
1937,south main street,1587
1938,pauline,1209
194,2501 keystone ln,840
1941,275 harbor way,1499
1942,3089 woodland hills dr,849
1943,3089 woodland hills dr,959
1944,140 lauff drive,1040
1945,401 s. highlander way,1143
1946,1550 brookfield dr,1359
1948,2960 birch hollow dr,999
1949,2960 birch hollow dr,969
195,2960 international drive,889
1950,schooner cove boulevard,889
1952,525 west highland rd,1029
1954,3089 woodland hills dr,1249
1956,1315 oak valley drive,1315
1959,2353 twin lakes dr,959
196,527 virginia ave,2200
1960,2911 bynan dr.,819
1961,101 lake village,1507
1962,2820 windwood,1644
1963,5800 benson dr,759
1967,1505 natalie lane,1225
1969,140 lauff drive,970
197,3089 woodland hills dr,809
1970,3089 woodland hills dr,1249
1971,2960 international drive,899
1972,stadium blvd,1079
1973,wellsville hwy,850
1974,1315 oak valley dr,1323
1975,1245 astor,1892
1976,1863 collins ct.,999
1977,275 harbor way,1399
1978,1840 collins ct,999
1979,1837 davis st.,999
1980,2044 mcdivitt ct.,1364
1982,stadium blvd,1179
1983,2911 bynan,839
1984,1984 traver rd,1219
1985,2201 glencoe hills drive,929
1987,south main street,1587
1988,twin lakes dr.,909
1989,latson,1130
199,roundtree blvd.,959
1990,2820 windwood,1644
1991,1984 traver rd,1419
1992,3050 birch hollow dr,975
1993,1550 brookfield,1489
1994,pauline,1209
1995,pauline,1189
1996,600 hidden valley club drive,1340
1997,twin lakes dr.,919
1998,41265 crossbow circle,1425
1999,140 lauff drive,970
20,10910 independence lane,790
200,twin lakes drive,959
2000,41265 crossbow,1130
2001,1550 brookfield,1529
2003,2201 glencoe hills drive,1119
2004,twin lakes dr.,889
2005,schooner cove boulevard,979
2007,stadium blvd,1039
2008,2501 keystone lane,1035
2009,leslie circle,1389
201,221 normal,945
2011,101 lake village,1420
2012,1984 traver rd,1219
2013,1550 brookfield,1529
2014,727 e kingsley st,1645
2015,1005 maiden lane,1359
2016,2501 keystone lane,1035
2018,birch hollow drive,999
